MLSNumber,Category,Status,Type,DOM,CDOM,ListDate,Agreement of Sale/Signed Lease Date,OffMarketDate,SettledDate,OriginalPrice,List Price,SoldPrice,StreetNumber,StreetDirection,StreetName,UnitNumber,City,State,Zip Code,County,MLSArea,Township,SchoolDistrict,Subdivision,ListAgentName,ListAgentCode,ListOfficeName,ListOfficeCode,ListOfficePhone,SellingAgent,SellingAgentCode,SellingOfficeName,SellingOfficeCode,SellingOfficePhone,SellerConcessionsAmount,FinalFinancing,FinalShortSale,FinalThirdPartyApproval,FinalBankOwned,TaxAnnualTotal,TaxYear,AcresTotal,LandUseCode,Ownership,Senior Community YN,Condo/Coop Assoc YN,HOA YN,One-TimeAssociationFee,AssociationFee,AssociationFeeFrequency,Age,InteriorSqFt,PropertyCondition,Bedrooms,BathsFull,BathsHalf,Design,Style,NumberofStories,FloorNumber,Basement YN,GarageSpaces,Fireplace YN,Laundry,Other Rooms,RoomCount,Central Air YN,Waterfront YN,New Construction YN,ModelName,AdditionalBankOwned,AdditionalThirdPartyApproval,AdditionalShortSale,BuyerBrokerCompensation,SubAgentCompensation,TransactionBrokerCompensation,OriginatingMLS,AboveGradeSqFt,BelowGradeSqFt,HomeBuilt,BasementFootprintPct,BasementFinishedPct 
MDHR2000135,RES,Closed,,0,0,2/6/22,5/20/21 0:00,2/6/22,8/20/21,"$796,296 ","$796,296 ","$796,296 ",3544,,Grier Nursery,,Street,MD,21154,HARFORDMD,,,,NONE AVAILABLE,Non Member,12345,Non Subscribing Office,NON1,(844) 552-7444,Ann E Taylor,3006086,Coldwell Banker Realty,CBRB42,(410) 515-2000,,Conventional,StandardSale,StandardSale,StandardSale,0,2020,2.61,,FeeSimple,No,No,No,,,,2021,4000,Excellent,4,3,1,Three,Colonial,"Main,Upper1",,Yes,3,,,,,Yes,No,Yes,,StandardSale,StandardSale,StandardSale,0,0,,BRIGHT,4000,,Excellent,,
MDHR2008820,RES,Closed,,0,0,2/3/22,4/21/21 0:00,2/3/22,2/3/22,"$563,578 ","$563,578 ","$563,578 ",216,,Man O War Way,,Havre De Grace,MD,21078,HARFORDMD,,,,BULLE ROCK,Non Member,12345,Non Subscribing Office,NON1,(844) 552-7444,Shirley P Camiolo,74283,Samson Properties,SAMP32,(443) 343-7660,,Conventional,StandardSale,StandardSale,StandardSale,0,2022,0,,FeeSimple,No,No,Yes,Monthly,352,Monthly,,2500,Excellent,3,3,,Two,Rancher,"Lower1,Main",,Yes,2,,,,,Yes,No,Yes,,StandardSale,StandardSale,StandardSale,12600,0,,BRIGHT,2500,,Excellent,,
MDHR2008684,RES,Closed,,0,0,2/1/22,3/21/21 0:00,2/1/22,6/11/21,"$532,188 ","$532,188 ","$531,188 ",719,,Dynasty,,Bel Air,MD,21015,HARFORDMD,,,,NONE AVAILABLE,Non Member,12345,Non Subscribing Office,NON1,(844) 552-7444,Bill Franklin,25451,"Long & Foster Real Estate, Inc.",LNG102,(410) 721-1500,"$5,000 ",Conventional,StandardSale,StandardSale,StandardSale,750,2020,0.1,110,FeeSimple,No,No,No,,,,0,0,Excellent,3,2,1,One,Colonial,"Lower1,Main",,Yes,2,,,,,No,No,Yes,,StandardSale,StandardSale,StandardSale,2.5,2.5,,BRIGHT,0,0,Excellent,,
MDHR2008402,RES,Closed,,0,0,1/31/22,12/6/21 0:00,1/31/22,1/25/22,"$216,000 ","$216,000 ","$216,000 ",2130,,Schuster,,Jarrettsville,MD,21084,HARFORDMD,,,,JARRETTSVILLE,Non Member,12345,Non Subscribing Office,NON1,(844) 552-7444,Gina Gladis,66315,"EXP Realty, LLC.",EXXP3,(410) 420-7900,,Cash,StandardSale,StandardSale,StandardSale,3425,2021,0.76,,FeeSimple,No,No,No,,,,1962,1930,,3,2,,Two,Rancher,Main,,Yes,2,,,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,1,0,,BRIGHT,1930,0,,,
MDHR2007580,RES,Closed,,6,6,1/25/22,1/30/22 0:00,2/10/22,2/10/22,"$175,000 ","$175,000 ","$170,000 ",637,,Boxelder,,Edgewood,MD,21040,HARFORDMD,,,,EDGE MEAD,Lee R. Tessier,132177,"EXP Realty, LLC",EXPB1,(410) 638-9555,Deborah M Ulmer,3064994,Berkshire Hathaway HomeServices Homesale Realty,HOMESALE039,(410) 697-8100,,Cash,StandardSale,StandardSale,StandardSale,1499,2020,0.2,110,FeeSimple,No,No,No,,,,1970,912,Average,3,1,1,One,Rancher,Main,,No,1,,MainFlrLndry,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,2.5,0,,BRIGHT,912,0,Average,,
MDHR2007240,RES,Closed,,1,1,1/7/22,1/7/22 0:00,2/2/22,1/28/22,"$615,000 ","$615,000 ","$615,000 ",498,,Copeland,,Fallston,MD,21047,HARFORDMD,,,,WOODCREST,Sally Hechter,145250,Cummings & Co Realtors,CCRL8,(410) 823-0033,Beth MacMillan,3028254,Cummings & Co Realtors,CCRL8,(410) 823-0033,,Conventional,StandardSale,StandardSale,StandardSale,5656,2020,0.61,110,FeeSimple,No,No,Yes,Annually,300,Annually,2001,3292,Excellent,4,2,1,Three,Colonial,"Lower1,Main,Upper1",,Yes,2,,MainFlrLndry,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,2.5,1,,BRIGHT,3292,0,Excellent,,
MDHR2007514,RES,Closed,,2,2,1/9/22,1/10/22 0:00,2/5/22,2/4/22,"$649,750 ","$649,750 ","$679,000 ",2408,,Grable,,Forest Hill,MD,21050,HARFORDMD,,,,NONE AVAILABLE,Steven K Warfield,24807,The Warfield Realty Group,TWRG1,(410) 879-6109,Daniel McGhee,3293438,Homeowners Real Estate,HRES1,(410) 836-9399,,Conventional,StandardSale,StandardSale,StandardSale,5016,2021,,,Other,No,No,No,,,,1991,4880,,5,2,1,OneandaHalf,Rancher,"Lower1,Main",,Yes,2,,,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,2,2,,BRIGHT,2440,2440,,,
MDHR2006676,RES,Closed,,4,4,1/12/22,1/14/22 0:00,1/31/22,1/31/22,"$250,000 ","$250,000 ","$240,000 ",516,,Shore,,Joppa,MD,21085,HARFORDMD,,,,RUMSEY ISLAND,Denise M Diana,25293,"Weichert, Realtors - Diana Realty",WEID1,(410) 893-1200,Jennifer L Rivas,88271,Allison James Estates & Homes,AJEH1,(866) 515-6819,,Cash,StandardSale,StandardSale,StandardSale,2437,2020,0.25,110,FeeSimple,No,No,No,,,,1975,1464,"BelowAverage,MajorRehabNeeded",3,2,1,Two,SplitFoyer,"Lower1,Main",,No,,No,BsmtLaundry,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,2.5,2.5,,BRIGHT,996,468,"BelowAverage,MajorRehabNeeded",,
MDHR2007450,RES,Closed,,1,1,1/5/22,1/5/22 0:00,2/4/22,2/4/22,"$660,000 ","$660,000 ","$660,000 ",1407,,Woodridge Manor,,Fallston,MD,21047,HARFORDMD,,,,WOODRIDGE MANOR,Rodolfo Magnaye Jr.,3082029,"EXP Realty, LLC",EXXP1,(888) 860-7369,Rodolfo Magnaye Jr.,3082029,"EXP Realty, LLC",EXXP1,(888) 860-7369,,Conventional,StandardSale,StandardSale,StandardSale,4963.35,2011,0.53,110,FeeSimple,No,No,No,,,,1999,4260,,5,4,1,Two,Colonial,"Lower1,Lower2,Main,Upper1,Upper2",,Yes,2,Yes,,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,2.5,0,,BRIGHT,3030,1230,,,
MDHR2006720,RES,Closed,,6,6,1/5/22,1/10/22 0:00,1/31/22,1/31/22,"$500,000 ","$500,000 ","$500,000 ",210,,Whirlaway,,Havre De Grace,MD,21078,HARFORDMD,,,,BULLE ROCK,Andrew Undem,3043171,Berkshire Hathaway HomeServices Homesale Realty,HOMESALE041,(410) 814-2400,Susan Hemmerly,24799,"Long & Foster Real Estate, Inc.",LNG106,(410) 453-0500,"$3,000 ",Cash,StandardSale,StandardSale,StandardSale,5127,2020,0.18,110,FeeSimple,No,No,Yes,Monthly,353,Monthly,2006,2550,,4,3,1,Three,Craftsman,"Lower1,Main,Upper1",,Yes,2,,,,,Yes,No,No,,StandardSale,StandardSale,StandardSale,2.5,2.5,,BRIGHT,2550,0,,,
